"id";"name";"category";"page";"description";"sizes";"prices";"alcohol";"alcoholfree";"glutenfree";"hint"
"BS001";"Rheinpott Session IPA";"Flaschenbiere";"Saisonkarte";"Vom Ruhrpott bis zum Niederrhein – drei Brauereien durch ein Bier vereint: Hensen Brauerei aus Mönchengladbach, Brauprojekt 777 aus Voerde und Mücke aus Essen.";"0,33l";"5,50";"3,2";0;0;"solange der Vorrat reicht"
"BS002";"Adnams Ghost Ship Pale Ale";"Flaschenbiere";"Saisonkarte";"Ein Hauch von Holunderblüte, dazu kräftiger Zitrus- und Stachelbeergeschmack.";"0,5l";"5,90";"4,5";0;0;"Herkunft: UK; solange der Vorrat reicht"
"BS003";"Benediktiner Hell";"Flaschenbiere";"Saisonkarte";"Ein Lagerbier mit goldgelber Farbe und angenehmer Malzsüße, mild im Geschmack.";"0,5l";"4,90";"5,0";0;0;"solange der Vorrat reicht"
"BS004";"Brooklynn Amber Lager";"Flaschenbiere";"Saisonkarte";"Ein bernsteinfarbenes American Lager. Es zählt zu den beliebtesten Bieren New Yorks.";"0,33l";"4,00";"5,2";0;0;"MHD; solange der Vorrat reicht"
"BS005";"Bud Light";"Flaschenbiere";"Saisonkarte";"In der USA-typischen Aluminium-Flasche.";"0,473l";"5,90";"4,2";0;0;"Herkunft: USA; Aluminium-Flasche; solange der Vorrat reicht"
"BS006";"Cotes du Rogue";"Flaschenbiere";"Saisonkarte";"Ein Sour Blonde Ale, das durch ein herbes Aroma und eine angenehme Frische überzeugt.";"0,5l";"14,90";"7,1";0;0;"Herkunft: USA; solange der Vorrat reicht"
"BS007";"Dos Equis XX";"Flaschenbiere";"Saisonkarte";"Ein erfrischendes, helles Lagerbier, mit einem milden, leicht malzigen Geschmack.";"0,473l";"4,80";"4,2";0;0;"Herkunft: MEX; solange der Vorrat reicht"
"BS008";"EBM Schichtende";"Flaschenbiere";"Saisonkarte";"Ungefiltert, herb und ehrlich. Ein Bier der Essener Braumanufaktur. Mit Leidenschaft gebraut.";"0,5l";"4,90";"5,6";0;0;"ungefiltert; solange der Vorrat reicht"
"BS009";"Jopen Super DuPa IPA";"Flaschenbiere";"Saisonkarte";"Handgemachtes Craftbier mit fruchtigen und exotischen Noten.";"0,33l";"4,50";"5,5";0;0;"Herkunft: NLD; solange der Vorrat reicht"
"BS010";"Moosehead Light";"Flaschenbiere";"Saisonkarte";"Light bedeutet hier nicht etwa weniger Alkoholgehalt, sondern weniger Kalorien.";"0,341l";"4,50";"4,0";0;0;"kalorienreduziert; Herkunft: CAN; solange der Vorrat reicht"
"BS011";"Miller Light";"Flaschenbiere";"Saisonkarte";"Der Klassiker aus den USA in der Aluflasche. Ein Lagerbier mit malzig-süßem Geschmack.";"0,473l";"5,90";"4,2";0;0;"Herkunft: USA; Aluminium-Flasche; solange der Vorrat reicht"
"BS012";"Riegele Kellerbier";"Flaschenbiere";"Saisonkarte";"Drei Malzsorten und die besondere Riegele Alehefe sorgen für ein fruchtiges und vollmundiges Aroma.";"0,5l";"4,90";"5,0";0;0;"solange der Vorrat reicht"
"BS013";"Samuel Smith's Chocolate Stout";"Flaschenbiere";"Saisonkarte";"Die perfekte Verbindung von Stout und luxuriöser Schokolade.";"0,355l";"4,80";"5,0";0;0;"Herkunft: UK; solange der Vorrat reicht"
"BS014";"Samuel Smith's Nut Brown Ale";"Flaschenbiere";"Saisonkarte";"Nussiges Aroma, das an Walnüsse, Bucheckern und Mandeln erinnert.";"0,355l";"4,80";"5,0";0;0;"Herkunft: UK; solange der Vorrat reicht"
"BS015";"Samuel Smith's Imperial Stout";"Flaschenbiere";"Saisonkarte";"Aromen von Kaffee und Schokolade, gebraut im Yorkshire-Squares-Verfahren.";"0,355l";"4,80";"7,0";0;0;"Herkunft: UK; solange der Vorrat reicht"
"BS016";"Samuel Smith's Organic Lager";"Flaschenbiere";"Saisonkarte";"Mit Noten von dezentem, frisch-brotigem Malz sowie floralen Hopfenaromen.";"0,355l";"4,80";"4,0";0;0;"Bio; Herkunft: UK; solange der Vorrat reicht"
"BS017";"Störtebeker United Style Lager";"Flaschenbiere";"Saisonkarte";"Zum Sportereignis des Jahres von Sierra Nevada Brewing und Störtebeker gebraut.";"0,355l";"3,70";"4,7";0;0;"solange der Vorrat reicht"
"BS018";"Flâneur Cidre Dry";"Flaschenbiere";"Saisonkarte";"Trocken, herb und angenehm direkt. Ein Cidre mit Haltung – und Tiefgang.";"0,33l";"4,50";"5,1";0;0;"Cidre; solange der Vorrat reicht"
"BS019";"Flâneur Cidre Classic";"Flaschenbiere";"Saisonkarte";"Verführt mit seiner feinen Süße jeden Gaumen beim ersten Schluck.";"0,33l";"4,50";"4,9";0;0;"Cidre; solange der Vorrat reicht"
"BS020";"Flâneur Cidre Rosé";"Flaschenbiere";"Saisonkarte";"Säuerlich-süß, wunderbar leichtfüßig und schlicht unwiderstehlich charmant.";"0,33l";"4,50";"4,9";0;0;"Cidre; solange der Vorrat reicht"
"BS021";"Samuel Smith's Organic Perry Cider";"Flaschenbiere";"Saisonkarte";"Ein trockener, prickelnder Birnencider mit leuchtend blasser Strohfarbe.";"0,55l";"6,00";"5,0";0;0;"Bio; Birnencider; Herkunft: UK; solange der Vorrat reicht"
"BS022";"Becks Blue Lemon";"Flaschenbiere";"Saisonkarte";"Pure Zitronenfrische. Weniger Zucker. Genau das Richtige, wenn du frischen Geschmack suchst.";"0,33l";"3,30";"0,0";1;0;"alkoholfrei"
"BS023";"Benediktiner Hell alkoholfrei";"Flaschenbiere";"Saisonkarte";"Mild-frisch, alkoholfrei und isotonisch, das ideale Getränk für ein gutes Leben.";"0,33l";"3,30";"<0,5";1;0;"alkoholfrei"
"BS024";"Corona Cero 0,0";"Flaschenbiere";"Saisonkarte";"Ein fruchtig frisches, goldgelbes Lagerbier. Perfekt für laue Sommernächte.";"0,33l";"4,50";"0,0";1;0;"alkoholfrei; Herkunft: MEX"
"BS025";"Jever Fun 0,0";"Flaschenbiere";"Saisonkarte";"Mit goldgelber Farbe und vollmundigem Geschmack überzeugt Jever Fun 0,0 % optisch und geschmacklich.";"0,33l";"3,30";"0,0";1;0;"alkoholfrei"
"BS026";"Vagabund Pale Ale";"Fassbiere";"Saisonkarte";"Jeder Schluck bringt eine ausgeprägte Malznote, bevor sie sich im sanften Rhythmus von Orangenblüten und Zitrusnoten verliert. Intensiv. Vielseitig. So wie das Leben selbst.";"0,3l/0,5l";"3,80/5,50";"5,2";0;0;""
"BS027";"Vault City Cloudy Lemonade";"Fassbiere";"Saisonkarte";"Vollgepackt mit Zitrusaromen von frischem Zitronensaft und -abrieb. Zusammen mit dem spritzigen Charakter eines Bieres aus gemischter Gärung ergibt sich ein leichtes und süffiges Session Sour mit einer anhaltenden Süße.";"0,3l/0,5l";"3,90/5,90";"4,2";0;0;""
"BS028";"Once Hopon a Time in America";"Fassbiere";"Saisonkarte";"Fruchtige Süße im Antrunk, mit Anklängen von Zitrusnoten und hellem Malz. Im Abgang folgt eine moderat trockene Bittere. Ein richtig gutes American IPA.";"0,25l/0,5l";"4,30/6,90";"6,4";0;0;""
"BS029";"Murphys Irish Stout";"Fassbiere";"Saisonkarte";"Murphy's Irish Stout ist ein klassisches Irish Dry Stout, das für seine sanfte, cremige Textur und seine milden Röstnoten bekannt ist.";"0,3l/0,5l";"3,90/5,90";"4,0";0;0;""
"BS030";"Anheuser Busch Bud";"Fassbiere";"Saisonkarte";"Bud ist ein amerikanisches Lagerbier, das seit 1876 in St. Louis, Missouri (USA) gebraut wird. Ein ausgewogener Geschmack mit Aromen von Honig und Zitrusfrüchten, einer goldenen Farbe und einem erfrischenden Geschmackserlebnis zeichnet das Lagerbier aus.";"0,3l/0,5l";"3,90/5,90";"5,0";0;0;""
