"id","name","category","page","description","sizes","prices","alcoholfree","glutenfree","hint"
"BD001","1664 Kronenbourg","Fassbiere","Seite 15","1664 Kronenbourg ist ein französisches Premiumbier mit einem eleganten, frischen Geschmack. Fein abgestimmte Malz- und Hopfennoten sorgen für eine harmonische Balance, abgerundet durch eine leichte Zitrusnote.","0,33l","4,30",0,0,""
"BD002","Aktien Zwickl","Flaschenbiere","Seite 29","Ein naturtrübes Zwicklbier mit ausgewogenen Malz- und Hopfenaromen. Ungefiltert und mit 5,4 % vol. ein frischer, authentischer Genuss aus der Brauerei Aktien.","0,5l","4,90",0,0,""
"BD003","Allgäuer Büble Dunkel","Fassbiere","Seite 13","Allgäuer Büble Dunkel ist ein traditionelles, bayerisches Bier mit vollmundigem Malzcharakter, feinen Röstnoten und einer dezenten Süße. Es wird nach altbewährter Braukunst hergestellt und überzeugt durch seinen kräftigen, harmonischen Geschmack.","0,3l/0,5l/1,0l","3,30/4,90/8,50",0,0,"auch als Maß 1,0 l/8,50"
"BD004","Allgäuer Büble Edelbräu","Flaschenbiere","Seite 29","Ein Bier wie die Allgäuer Alpen – rein, frisch und authentisch. Dieses Edelbräu mit 5,5 % vol. beeindruckt mit feiner Malzigkeit und einer milden Hopfennote.","0,5l","4,90",0,0,""
"BD005","Alpine","Flaschenbiere","Seite 34","Ein frisches, hopfenbetontes Lager mit 5,0 % vol., das mit Zitrus- und tropischen Fruchtaromen begeistert. Ein Bier, das Craft Beer Fans begeistert.","0,341l","4,80",0,0,""
"BD006","Arschlecken 350","Flaschenbiere","Seite 10","Ein deutsches Craft Beer mit kräftiger Hopfenbitterkeit, komplexen Aromen und feiner Malz-Hopfen-Balance. Leicht fruchtig – ein Highlight für Bierliebhaber.","0,33l","3,50",0,0,""
"BD007","Asahi","Flaschenbiere","Seite 33","Leicht, spritzig und mit klarer Frische. Die subtile Bitterkeit macht Asahi zum idealen Begleiter für jeden Anlass.","0,33l","4,50",0,0,""
"BD008","Astra Kiezmische","Flaschenbiere","Seite 26","Der Mix für echte Kiez-Kenner. Fruchtige Limette trifft auf herbes Bier, mit nur 2,5 % vol. der ideale Durstlöscher für entspannte Sommertage.","0,33l","3,30",0,0,""
"BD009","Astra Kleine Freiheit","Flaschenbiere","Seite 27","Helles, süffiges und leichtes Bier. Die helle Variante des Kultbiers, die unkomplizierten Genuss verspricht.","0,33l","3,30",0,0,""
"BD010","Astra Rakete","Flaschenbiere","Seite 26","Spritzige Zitrone, ein Schuss Energie und 5,9 % vol. machen diese Mischung zur Partybombe. Perfekt für lange Nächte mit Freunden.","0,33l","3,70",0,0,""
